id,nafis_raw_id,nafis_price_date,county,town,variety,commodity,unit,kg,code,rowno,price,average,max,min,price_date
8298,32,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Passion Fruits,Bag,57,25,39,3100,3524,6000,1995,27/01/2011
8299,33,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Oranges,Bag,93,24,40,2500,2686,4000,2000,27/01/2011
8300,34,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Lemons,Bag,95,16,41,700,1607,900,1400,27/01/2011
8301,35,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Mangoes Local,Bag,126,21,42,1800,1875,800,1800,27/01/2011
8302,36,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Mangoes Ngowe,Sm Basket,25,36,43,600,600,800,450,27/01/2011
8303,37,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Limes,net,13,18,44,530,530,600,500,27/01/2011
8304,38,2011-01-27,Kisumu,Kisumu,HORTICULTURE,Pineapples,Dozen,12.8000002,28,45,1400,720,600,1000,27/01/2011
8305,253,2011-12-09,Kisumu,Kisumu,CEREAL,Dry Maize,Bag,90,20,8,3600,3180,3800,2500,09/12/2011
8306,254,2011-12-09,Kisumu,Kisumu,CEREAL,Green Maize,Ext Bag,115,19,9,2000,2633,4500,1500,09/12/2011
8307,255,2011-12-09,Kisumu,Kisumu,CEREAL,Finger Millet,Bag,90,41,10,4800,5162,7200,4050,09/12/2011
8308,256,2011-12-09,Kisumu,Kisumu,CEREAL,Sorghum,Bag,90,42,11,3600,3694,5400,2600,09/12/2011
8309,257,2011-12-09,Kisumu,Kisumu,CEREAL,Wheat,Bag,90,48,12,3780,3780,5400,2900,09/12/2011
8310,258,2011-12-09,Kisumu,Kisumu,LEGUMES,Beans Canadian,Bag,90,4,13,7200,5900,7200,4200,09/12/2011
8311,259,2011-12-09,Kisumu,Kisumu,LEGUMES,Beans Rosecoco,Bag,90,5,14,6400,5252,7000,4200,09/12/2011
