REPORT_DATE;LOAD_TYPE;LOAD_WEIGHT;DROPOFF_SITE;ROUTE_TYPE;ROUTE_NUMBER;LOAD_ID
2020-02-22;GARBAGE COLLECTIONS;25560;TDS LANDFILL;GARBAGE COLLECTION;PAT10;680648
2020-02-21;RECYCLING - SINGLE STREAM;13840;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU51;862124
2020-02-21;RECYCLING - SINGLE STREAM;14360;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU52;862134
2020-02-21;RECYCLING - SINGLE STREAM;9880;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU53;862141
2020-02-21;RECYCLING - SINGLE STREAM;9280;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU50;862121
2020-02-21;RECYCLING - SINGLE STREAM;9840;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU53;862138
2020-02-21;RECYCLING - SINGLE STREAM;4400;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU51;862128
2020-02-21;RECYCLING - SINGLE STREAM;3980;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU52;862136
2020-02-21;RECYCLING - SINGLE STREAM;7040;TDS - MRF;RECYCLING - SINGLE STREAM;RHAU50;862122
2020-02-21;RECYCLING - SINGLE STREAM;4300;TDS - MRF;RECYCLING - SINGLE STREAM;RHAU51;862125
2020-02-21;RECYCLING - SINGLE STREAM;15460;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU51;862127
2020-02-20;GARBAGE COLLECTIONS;22660;TDS LANDFILL;GARBAGE COLLECTION;PAH72;862111
2020-02-20;GARBAGE COLLECTIONS;21200;TDS LANDFILL;GARBAGE COLLECTION;PAH74;862115
2020-02-20;GARBAGE COLLECTIONS;26880;TDS LANDFILL;GARBAGE COLLECTION;PAH64;862137
2020-02-20;YARD TRIMMING;4120;HORNSBY BEND;YARD TRIMMINGS;YH05;862077
2020-02-20;YARD TRIMMING;4040;HORNSBY BEND;YARD TRIMMINGS;YH01;862082
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB25;862143
2020-02-20;GARBAGE COLLECTIONS;7820;TDS LANDFILL;GARBAGE COLLECTION;PAH79;862117
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB20;862132
2020-02-20;GARBAGE COLLECTIONS;13720;TDS LANDFILL;GARBAGE COLLECTION;PAH01;862147
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB25;862148
2020-02-20;GARBAGE COLLECTIONS;18720;TDS LANDFILL;GARBAGE COLLECTION;PAH71;862110
2020-02-20;BRUSH;9440;HORNSBY BEND;BRUSH;BR18;862104
2020-02-20;GARBAGE COLLECTIONS;24940;TDS LANDFILL;GARBAGE COLLECTION;PAH63;862135
2020-02-20;BRUSH;8640;HORNSBY BEND;BRUSH;BR18;862099
2020-02-20;GARBAGE COLLECTIONS;25200;TDS LANDFILL;GARBAGE COLLECTION;PAH60;862126
2020-02-20;YARD TRIMMING;5460;HORNSBY BEND;YARD TRIMMINGS;YH02;862083
2020-02-20;GARBAGE COLLECTIONS;25000;TDS LANDFILL;GARBAGE COLLECTION;PAH73;862113
2020-02-20;YARD TRIMMING;9020;HORNSBY BEND;YARD TRIMMINGS;YH06;862114
2020-02-20;ORGANICS;6660;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH1;862119
2020-02-20;ORGANICS;8180;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-10;862149
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-DOWNTOWN;SDT01;862133
2020-02-20;BRUSH;7160;HORNSBY BEND;BRUSH;BR18;862107
2020-02-20;YARD TRIMMING;6200;HORNSBY BEND;YARD TRIMMINGS;YH04;862075
2020-02-20;BRUSH;4920;HORNSBY BEND;BRUSH;BR18;862105
2020-02-20;ORGANICS;9380;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-3;862123
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB46;862139
2020-02-20;BRUSH;8760;HORNSBY BEND;BRUSH;BR18;862103
2020-02-20;GARBAGE COLLECTIONS;12740;TDS LANDFILL;GARBAGE COLLECTION;PAH01;862145
2020-02-20;YARD TRIMMING;7940;HORNSBY BEND;YARD TRIMMINGS;YH03;862112
2020-02-20;GARBAGE COLLECTIONS;17840;TDS LANDFILL;GARBAGE COLLECTION;PAH61;862129
2020-02-20;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB25;862150
2020-02-20;BRUSH;7700;HORNSBY BEND;BRUSH;BR18;862106
2020-02-20;ORGANICS;4280;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-2;862120
2020-02-20;GARBAGE COLLECTIONS;10000;TDS LANDFILL;GARBAGE COLLECTION;PAH69;862144
2020-02-20;BRUSH;5000;HORNSBY BEND;BRUSH;BR18;862108
2020-02-20;ORGANICS;6720;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-4;862131
2020-02-20;GARBAGE COLLECTIONS;24000;TDS LANDFILL;GARBAGE COLLECTION;PAH62;862130
2020-02-20;GARBAGE COLLECTIONS;20340;TDS LANDFILL;GARBAGE COLLECTION;PAH70;862109
2020-02-20;GARBAGE COLLECTIONS;18520;TDS LANDFILL;GARBAGE COLLECTION;PAH75;862116
2020-02-20;GARBAGE COLLECTIONS;11980;TDS LANDFILL;GARBAGE COLLECTION;PAH04;862175
2020-02-20;GARBAGE COLLECTIONS;7780;TDS LANDFILL;GARBAGE COLLECTION;PAH52;862218
2020-02-20;RECYCLING - SINGLE STREAM;12440;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU21;862187
2020-02-20;GARBAGE COLLECTIONS;15880;TDS LANDFILL;GARBAGE COLLECTION;PAH04;862177
2020-02-20;ORGANICS;9700;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-17;862176
2020-02-20;RECYCLING - SINGLE STREAM;7320;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU13;862233
2020-02-20;GARBAGE COLLECTIONS;22100;TDS LANDFILL;GARBAGE COLLECTION;PAH50;862209
2020-02-20;GARBAGE COLLECTIONS;4820;TDS LANDFILL;GARBAGE COLLECTION;PAH09;862185
2020-02-20;GARBAGE COLLECTIONS;8760;TDS LANDFILL;GARBAGE COLLECTION;PAH51;862214
2020-02-20;RECYCLING - SINGLE STREAM;10960;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU21;862188
2020-02-20;RECYCLING - SINGLE STREAM;11960;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU12;862226
2020-02-20;GARBAGE COLLECTIONS;13520;TDS LANDFILL;GARBAGE COLLECTION;PAH06;862182
2020-02-20;RECYCLING - SINGLE STREAM;16080;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU22;862190
2020-02-20;GARBAGE COLLECTIONS;16860;TDS LANDFILL;GARBAGE COLLECTION;PAH53;862227
2020-02-20;GARBAGE COLLECTIONS;21760;TDS LANDFILL;GARBAGE COLLECTION;PAH54;862232
2020-02-20;RECYCLING - SINGLE STREAM;12540;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU10;862222
2020-02-20;ORGANICS;8900;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-8;862165
2020-02-20;GARBAGE COLLECTIONS;14280;TDS LANDFILL;GARBAGE COLLECTION;PAH02;862157
2020-02-20;RECYCLING - SINGLE STREAM;13480;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU13;862231
2020-02-20;GARBAGE COLLECTIONS;23220;TDS LANDFILL;GARBAGE COLLECTION;PAH65;862140
2020-02-20;ORGANICS;10380;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-16;862172
2020-02-20;RECYCLING - SINGLE STREAM;9660;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU10;862223
2020-02-20;ORGANICS;14340;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-12;862155
2020-02-20;RECYCLING - SINGLE STREAM;13560;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAS34;862247
2020-02-20;ORGANICS;6880;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-7;862161
2020-02-20;ORGANICS;7180;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-6;862158
2020-02-20;RECYCLING - SINGLE STREAM;7780;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU25;862198
2020-02-20;GARBAGE COLLECTIONS;19060;TDS LANDFILL;GARBAGE COLLECTION;PAH53;862228
2020-02-20;RECYCLING - SINGLE STREAM;10920;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU24;862195
2020-02-20;RECYCLING - SINGLE STREAM;11760;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAS35;862250
2020-02-20;RECYCLING - SINGLE STREAM;13020;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU23;862192
2020-02-20;GARBAGE COLLECTIONS;10340;TDS LANDFILL;GARBAGE COLLECTION;PAH52;862216
2020-02-20;RECYCLING - SINGLE STREAM;8540;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU23;862193
2020-02-20;RECYCLING - SINGLE STREAM;12990;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAS35;862249
2020-02-20;RECYCLING - SINGLE STREAM;9860;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU24;862196
2020-02-20;GARBAGE COLLECTIONS;14080;TDS LANDFILL;GARBAGE COLLECTION;PAH51;862212
2020-02-20;RECYCLING - SINGLE STREAM;2780;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU11;862225
2020-02-20;RECYCLING - SINGLE STREAM;14160;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAS33;862246
2020-02-20;RECYCLING - SINGLE STREAM;13180;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAS34;862248
2020-02-20;ORGANICS;6420;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-11;862154
2020-02-20;ORGANICS;8700;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-14;862164
2020-02-20;RECYCLING - SINGLE STREAM;12400;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU20;862183
2020-02-20;RECYCLING - SINGLE STREAM;9900;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU23;862194
2020-02-20;RECYCLING - SINGLE STREAM;12600;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU20;862184
2020-02-20;RECYCLING - SINGLE STREAM;12660;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU11;862224
2020-02-20;GARBAGE COLLECTIONS;6180;TDS LANDFILL;GARBAGE COLLECTION;PAH59;862234
2020-02-20;RECYCLING - SINGLE STREAM;7000;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU22;862191
2020-02-20;ORGANICS;7720;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OBH00;862180
2020-02-20;GARBAGE COLLECTIONS;15520;TDS LANDFILL;GARBAGE COLLECTION;PAH02;862159
2020-02-20;RECYCLING - SINGLE STREAM;8100;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU25;862199
2020-02-20;ORGANICS;9960;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-5;862153
2020-02-20;GARBAGE COLLECTIONS;17520;TDS LANDFILL;GARBAGE COLLECTION;PAH03;862170
2020-02-20;ORGANICS;8940;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-15;862168
2020-02-20;GARBAGE COLLECTIONS;13780;TDS LANDFILL;GARBAGE COLLECTION;PAH54;862230
2020-02-20;ORGANICS;8180;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-13;862156
2020-02-20;ORGANICS;8800;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OH-18;862181
2020-02-20;RECYCLING - SINGLE STREAM;11480;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RHAU12;862229
2020-02-19;BRUSH;9120;HORNSBY BEND;BRUSH;BR18;861888
2020-02-19;BULK;6940;TDS LANDFILL;BULK;BU02;862046
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB92;861903
2020-02-19;GARBAGE COLLECTIONS;20540;TDS LANDFILL;GARBAGE COLLECTION;PW20;861919
2020-02-19;BRUSH;11900;HORNSBY BEND;BRUSH;BR18;861892
2020-02-19;ORGANICS;8640;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW13;861912
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-DOWNTOWN;SDT01;861907
2020-02-19;BULK;2940;TDS LANDFILL;ON CALL BULK;OCPBU23;861905
2020-02-19;YARD TRIMMING;12640;HORNSBY BEND;YARD TRIMMINGS;YW04;861885
2020-02-19;ORGANICS;6260;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW18;861917
2020-02-19;ORGANICS;8620;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW12;861911
2020-02-19;ORGANICS;8980;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW15;861914
2020-02-19;ORGANICS;8380;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW10;861909
2020-02-19;YARD TRIMMING;7420;HORNSBY BEND;YARD TRIMMINGS;YW05;861886
2020-02-19;ORGANICS;10440;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW17;861916
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB51;861906
2020-02-19;ORGANICS;4240;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW19;861918
2020-02-19;BRUSH;2420;HORNSBY BEND;BRUSH;BR18;861894
2020-02-19;BRUSH;11280;HORNSBY BEND;BRUSH;BR18;861890
2020-02-19;GARBAGE COLLECTIONS;17660;TDS LANDFILL;GARBAGE COLLECTION;PAW70;861901
2020-02-19;BRUSH;7600;HORNSBY BEND;BRUSH;BR18;861889
2020-02-19;GARBAGE COLLECTIONS;24960;TDS LANDFILL;GARBAGE COLLECTION;PAW70;861902
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-BLVD;SB106;861904
2020-02-19;ORGANICS;5700;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW16;861915
2020-02-19;BRUSH;10080;HORNSBY BEND;BRUSH;BR18;861897
2020-02-19;BRUSH;7480;HORNSBY BEND;BRUSH;BR18;861887
2020-02-19;BRUSH;12720;HORNSBY BEND;BRUSH;BR18;861891
2020-02-19;ORGANICS;13180;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW14;861913
2020-02-19;BULK;2100;TDS LANDFILL;ON CALL BULK;OCPBU09;861899
2020-02-19;GARBAGE COLLECTIONS;12640;TDS LANDFILL;GARBAGE COLLECTION;PW21;861920
2020-02-19;TIRES;500;MRF;ON CALL BULK;OCPBU09;861900
2020-02-19;BRUSH;7540;HORNSBY BEND;BRUSH;BR18;861895
2020-02-19;BRUSH;9700;HORNSBY BEND;BRUSH;BR18;861893
2020-02-19;ORGANICS;12740;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW11;861910
2020-02-19;BRUSH;3260;HORNSBY BEND;BRUSH;BR18;861896
2020-02-19;GARBAGE COLLECTIONS;14220;TDS LANDFILL;GARBAGE COLLECTION;PAW71;861908
2020-02-19;YARD TRIMMING;9120;HORNSBY BEND;YARD TRIMMINGS;YW01;861884
2020-02-19;SWEEPING;;GREAT NORTHERN;STREET CLEANING-RESIDENTIAL;S10-24;862092
2020-02-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S10-19;862090
2020-02-19;GARBAGE COLLECTIONS;27100;TDS LANDFILL;GARBAGE COLLECTION;PW22;861921
2020-02-19;ORGANICS;7220;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW25;862080
2020-02-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S10-27;862085
2020-02-19;BULK;11980;TDS LANDFILL;BULK;BU02;862037
2020-02-19;GARBAGE COLLECTIONS;9840;TDS LANDFILL;GARBAGE COLLECTION;PAW65;862070
2020-02-19;RECYCLING - SINGLE STREAM;10460;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU54;862008
2020-02-19;GARBAGE COLLECTIONS;7780;TDS LANDFILL;GARBAGE COLLECTION;PAW72;861933
2020-02-19;GARBAGE COLLECTIONS;11700;TDS LANDFILL;GARBAGE COLLECTION;PAW50;861930
2020-02-19;SWEEPING;5820;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;862050
2020-02-19;GARBAGE COLLECTIONS;16860;TDS LANDFILL;GARBAGE COLLECTION;PAW72;861937
2020-02-19;ORGANICS;14260;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OBW99;862081
2020-02-19;GARBAGE COLLECTIONS;11820;TDS LANDFILL;GARBAGE COLLECTION;PAW06;862007
2020-02-19;BULK;4000;TDS LANDFILL;BULK;BU02;862047
2020-02-19;RECYCLING - SINGLE STREAM;8740;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU51;861997
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S10-25;862089
2020-02-19;GARBAGE COLLECTIONS;16560;TDS LANDFILL;GARBAGE COLLECTION;PAW02;861976
2020-02-19;GARBAGE COLLECTIONS;18300;TDS LANDFILL;GARBAGE COLLECTION;PAW65;862069
2020-02-19;GARBAGE COLLECTIONS;14500;TDS LANDFILL;GARBAGE COLLECTION;PAW72;861923
2020-02-19;ORGANICS;3100;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OBW00;861984
2020-02-19;GARBAGE COLLECTIONS;20800;TDS LANDFILL;GARBAGE COLLECTION;PAW01;861967
2020-02-19;YARD TRIMMING;14220;HORNSBY BEND;YARD TRIMMINGS;YW03;861925
2020-02-19;BULK;15120;TDS LANDFILL;BULK;BU02;862032
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S10-24;862093
2020-02-19;RECYCLING - SINGLE STREAM;4700;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU53;862001
2020-02-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S10-25;862087
2020-02-19;ORGANICS;12580;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW6;861963
2020-02-19;BULK;7600;TDS LANDFILL;BULK;BU02;862031
2020-02-19;GARBAGE COLLECTIONS;15600;TDS LANDFILL;GARBAGE COLLECTION;PAW51;861935
2020-02-19;SWEEPING;;GREAT NORTHERN;STREET CLEANING-RESIDENTIAL;S10-23;862097
2020-02-19;GARBAGE COLLECTIONS;7800;TDS LANDFILL;GARBAGE COLLECTION;PAW59;861955
2020-02-19;BULK;6500;TDS LANDFILL;BULK;BU02;862033
2020-02-19;ORGANICS;9140;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW3;861949
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S10-28;862084
2020-02-19;BULK;9320;TDS LANDFILL;BULK;BU02;862043
2020-02-19;GARBAGE COLLECTIONS;22260;TDS LANDFILL;GARBAGE COLLECTION;PW23;861924
2020-02-19;BULK;9920;TDS LANDFILL;BULK;BU02;862035
2020-02-19;BULK;10420;TDS LANDFILL;BULK;BU02;862042
2020-02-19;ORGANICS;8360;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW8;861978
2020-02-19;RECYCLING - SINGLE STREAM;7800;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU53;862004
2020-02-19;ORGANICS;9460;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW21;862056
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S10-19;862091
2020-02-19;GARBAGE COLLECTIONS;15640;TDS LANDFILL;GARBAGE COLLECTION;PAW71;862039
2020-02-19;ORGANICS;12120;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW23;862058
2020-02-19;GARBAGE COLLECTIONS;19400;TDS LANDFILL;GARBAGE COLLECTION;PAW54;861951
2020-02-19;YARD TRIMMING;11780;HORNSBY BEND;YARD TRIMMINGS;YW02;861922
2020-02-19;SWEEPING;;GREAT NORTHERN;STREET CLEANING-RESIDENTIAL;S10-25;862088
2020-02-19;SWEEPING;26860;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;862049
2020-02-19;BULK;10520;TDS LANDFILL;BULK;BU02;862034
2020-02-19;RECYCLING - SINGLE STREAM;9820;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU53;861999
2020-02-19;ORGANICS;14440;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW22;862057
2020-02-19;BULK;4520;TDS LANDFILL;BULK;BU02;862038
2020-02-19;GARBAGE COLLECTIONS;10760;TDS LANDFILL;GARBAGE COLLECTION;PAW62;862063
2020-02-19;GARBAGE COLLECTIONS;16600;TDS LANDFILL;GARBAGE COLLECTION;PAW74;861964
2020-02-19;ORGANICS;5820;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW4;861958
2020-02-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S10-27;862095
2020-02-19;ORGANICS;4120;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW7;861970
2020-02-19;GARBAGE COLLECTIONS;10240;TDS LANDFILL;GARBAGE COLLECTION;PAW60;862059
2020-02-19;SWEEPING;6840;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;862052
2020-02-19;GARBAGE COLLECTIONS;10360;TDS LANDFILL;GARBAGE COLLECTION;PAW52;861939
2020-02-19;GARBAGE COLLECTIONS;16380;TDS LANDFILL;GARBAGE COLLECTION;PAW63;862065
2020-02-19;BULK;6200;TDS LANDFILL;BULK;BU02;862041
2020-02-19;GARBAGE COLLECTIONS;3340;TDS LANDFILL;GARBAGE COLLECTION;PAW09;862013
2020-02-19;BULK;14320;TDS LANDFILL;BULK;BU02;862030
2020-02-19;ORGANICS;7800;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW2;861941
2020-02-19;GARBAGE COLLECTIONS;21040;TDS LANDFILL;GARBAGE COLLECTION;PAW50;861931
2020-02-19;GARBAGE COLLECTIONS;17020;TDS LANDFILL;GARBAGE COLLECTION;PAW52;861940
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S10-27;862096
2020-02-19;GARBAGE COLLECTIONS;21480;TDS LANDFILL;GARBAGE COLLECTION;PAW53;861944
2020-02-19;GARBAGE COLLECTIONS;9520;TDS LANDFILL;GARBAGE COLLECTION;PAW63;862066
2020-02-19;TIRES;2000;MRF;BULK;BU02;862045
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S10-23;862098
2020-02-19;GARBAGE COLLECTIONS;9220;TDS LANDFILL;GARBAGE COLLECTION;PAW79;861973
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S10-23;862101
2020-02-19;RECYCLING - SINGLE STREAM;8440;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU10;862146
2020-02-19;GARBAGE COLLECTIONS;20260;TDS LANDFILL;GARBAGE COLLECTION;PAW03;861979
2020-02-19;YARD TRIMMING;5220;HORNSBY BEND;YARD TRIMMINGS;YW06;861926
2020-02-19;BULK;9580;TDS LANDFILL;BULK;BU02;862040
2020-02-19;GARBAGE COLLECTIONS;17720;TDS LANDFILL;GARBAGE COLLECTION;PAW61;862061
2020-02-19;RECYCLING - SINGLE STREAM;3240;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU54;862010
2020-02-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S10-23;862100
2020-02-19;GARBAGE COLLECTIONS;14920;TDS LANDFILL;GARBAGE COLLECTION;PAT64;862068
2020-02-19;GARBAGE COLLECTIONS;15320;TDS LANDFILL;GARBAGE COLLECTION;PAW61;862062
2020-02-19;RECYCLING - SINGLE STREAM;11520;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU50;861987
2020-02-19;RECYCLING - SINGLE STREAM;13620;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU51;861995
2020-02-19;GARBAGE COLLECTIONS;25460;TDS LANDFILL;GARBAGE COLLECTION;PAT73;861954
2020-02-19;RECYCLING - SINGLE STREAM;9220;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU52;861992
2020-02-19;SWEEPING;9300;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;862048
2020-02-19;GARBAGE COLLECTIONS;17520;TDS LANDFILL;GARBAGE COLLECTION;PAW04;861986
2020-02-19;RECYCLING - SINGLE STREAM;6960;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU50;861989
2020-02-19;GARBAGE COLLECTIONS;13100;TDS LANDFILL;GARBAGE COLLECTION;PAW54;861947
2020-02-19;GARBAGE COLLECTIONS;12840;TDS LANDFILL;GARBAGE COLLECTION;PAW51;861934
2020-02-19;GARBAGE COLLECTIONS;11540;TDS LANDFILL;GARBAGE COLLECTION;PAW02;861974
2020-02-19;TIRES;1820;MRF;LITTER P/U;LC01;862118
2020-02-19;ORGANICS;10720;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW1;861928
2020-02-19;GARBAGE COLLECTIONS;10500;TDS LANDFILL;GARBAGE COLLECTION;PAW53;861943
2020-02-19;GARBAGE COLLECTIONS;8060;TDS LANDFILL;GARBAGE COLLECTION;PAW69;862071
2020-02-19;RECYCLING - SINGLE STREAM;12040;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU10;862142
2020-02-19;ORGANICS;11140;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW20;862055
2020-02-19;SWEEPING;;ONION CREEK;STREET CLEANING-RESIDENTIAL;S10-27;862086
2020-02-19;ORGANICS;8200;ORGANICS BY GOSH;YARD TRIMMINGS-ORGANICS;OW5;861961
2020-02-19;GARBAGE COLLECTIONS;14680;TDS LANDFILL;GARBAGE COLLECTION;PAW74;861968
2020-02-19;SWEEPING;11800;TDS LANDFILL;SWEEPER DUMPSITES;DSS04;862051
2020-02-19;RECYCLING - SINGLE STREAM;10340;BALCONES RECYCLING;RECYCLING - SINGLE STREAM;RWAU52;861991
2020-02-19;GARBAGE COLLECTIONS;12300;TDS LANDFILL;GARBAGE COLLECTION;PAW62;862064
2020-02-19;GARBAGE COLLECTIONS;17180;TDS LANDFILL;GARBAGE COLLECTION;PAW06;862009
2020-02-19;BULK;6500;TDS LANDFILL;BULK;BU02;862044
2020-02-19;GARBAGE COLLECTIONS;23680;TDS LANDFILL;GARBAGE COLLECTION;PAT73;861977
2020-02-19;SWEEPING;;ON ROUTE HIGH DUMP;STREET CLEANING-RESIDENTIAL;S10-27;862094
2020-02-19;BULK;12500;TDS LANDFILL;BULK;BU02;862036
2020-02-19;GARBAGE COLLECTIONS;11000;TDS LANDFILL;GARBAGE COLLECTION;PAT64;862067
2020-02-19;GARBAGE COLLECTIONS;16940;TDS LANDFILL;GARBAGE COLLECTION;PAW60;862060
2020-02-19;GARBAGE COLLECTIONS;13100;TDS LANDFILL;GARBAGE COLLECTION;PAW01;861969
