RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Isiolo, Wajir, Busia, Meru, Kitale, Kitui, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20.0, 2600.0, 2500.0, 2600.0, 2000.0, 1800.0, 2700.0, 2500.0, 1530.0, 1700.0, 1900.0, 2700.0, 2230.0, 2700.0, 1530.0, 06-08-2018.xls, 2020-01-09 13:10:48
11, CEREAL, Green Maize, Ext Bag, 115.0, 19.0, 2700.0, 4600.0, 2000.0, 1500.0, 1400.0, 3000.0, 2420.0, 3000.0, 2800.0, 1400.0, 1800.0, 2420.0, 4600.0, 1400.0, 06-08-2018.xls, 2020-01-09 13:10:48
12, CEREAL, Finger Millet, Bag, 90.0, 41.0, 7200.0, 6750.0, 7600.0, 6300.0, 8100.0, 9000.0, 7175.0, 6300.0, 6300.0, 6300.0, 7900.0, 7175.0, 9000.0, 6300.0, 06-08-2018.xls, 2020-01-09 13:10:48
13, CEREAL, Sorghum, Bag, 90.0, 42.0, 3850.0, 2700.0, 3200.0, 3600.0, 5400.0, 3600.0, 3683.0, 1800.0, 3600.0, 3683.0, 5400.0, 3683.0, 5400.0, 1800.0, 06-08-2018.xls, 2020-01-09 13:10:48
14, CEREAL, Wheat, Bag, 90.0, 48.0, 3633.0, 3633.0, 3633.0, 3633.0, 3300.0, 4500.0, 3633.0, 3633.0, 3100.0, 3633.0, 3633.0, 3633.0, 4500.0, 3100.0, 06-08-2018.xls, 2020-01-09 13:10:48
15, LEGUMES, Beans Canadian, Bag, 90.0, 4.0, 7200.0, 6020.0, 7200.0, 5400.0, 6020.0, 6020.0, 6020.0, 6020.0, 6020.0, 4000.0, 6300.0, 6020.0, 7200.0, 4000.0, 06-08-2018.xls, 2020-01-09 13:10:48
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5.0, 6300.0, 4500.0, 6200.0, 5400.0, 7650.0, 6300.0, 5745.0, 6300.0, 4500.0, 4000.0, 6300.0, 5745.0, 7650.0, 4000.0, 06-08-2018.xls, 2020-01-09 13:10:48
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7.0, 6300.0, 3700.0, 5181.0, 3600.0, 7650.0, 5400.0, 5181.0, 5181.0, 4500.0, 4000.0, 6300.0, 5181.0, 7650.0, 3600.0, 06-08-2018.xls, 2020-01-09 13:10:48
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6.0, 6300.0, 5000.0, 5000.0, 3600.0, 5000.0, 5000.0, 5000.0, 5000.0, 4700.0, 5000.0, 5400.0, 5000.0, 6300.0, 3600.0, 06-08-2018.xls, 2020-01-09 13:10:48
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35.0, 8400.0, 6750.0, 8531.0, 5400.0, 11700.0, 9000.0, 8531.0, 8531.0, 7200.0, 10800.0, 9000.0, 8531.0, 9000.0, 10800.0, 06-08-2018.xls, 2020-01-09 13:10:48
20, LEGUMES, Green Gram, Bag, 90.0, 46.0, 6800.0, 5220.0, 7600.0, 5400.0, 9000.0, 7200.0, 7222.0, 6300.0, 6700.0, 10800.0, 7200.0, 7222.0, 9000.0, 10800.0, 06-08-2018.xls, 2020-01-09 13:10:48
21, LEGUMES, Cowpeas, Bag, 90.0, 45.0, 7000.0, 3150.0, 7600.0, 6300.0, 6750.0, 4500.0, 6000.0, 6000.0, 5400.0, 7000.0, 6300.0, 6000.0, 7600.0, 3150.0, 06-08-2018.xls, 2020-01-09 13:10:48
22, LEGUMES, Fresh Peas, Bag, 51.0, 27.0, 3750.0, 4000.0, 2500.0, 2500.0, 2040.0, 4080.0, 2929.0, 2929.0, 3060.0, 1500.0, 2929.0, 2929.0, 4080.0, 1500.0, 06-08-2018.xls, 2020-01-09 13:10:48
23, LEGUMES, Groundnuts, Bag, 110.0, 44.0, 10500.0, 11000.0, 9200.0, 10340.0, 10350.0, 11161.0, 11161.0, 13200.0, 11161.0, 14300.0, 10400.0, 11161.0, 9200.0, 10340.0, 06-08-2018.xls, 2020-01-09 13:10:48
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29.0, 2300.0, 2700.0, 1600.0, 3010.0, 2000.0, 4500.0, 3500.0, 2500.0, 4000.0, 2000.0, 5000.0, 3010.0, 5000.0, 1600.0, 06-08-2018.xls, 2020-01-09 13:10:48
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30.0, 2300.0, 2700.0, 1600.0, 3200.0, 1800.0, 5000.0, 3500.0, 3110.0, 3800.0, 2200.0, 5000.0, 3110.0, 5000.0, 1600.0, 06-08-2018.xls, 2020-01-09 13:10:48
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43.0, 2500.0, 2500.0, 3000.0, 2457.0, 2457.0, 2000.0, 2457.0, 2457.0, 3600.0, 2500.0, 1100.0, 2457.0, 3600.0, 1100.0, 06-08-2018.xls, 2020-01-09 13:10:48
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31.0, 3000.0, 2600.0, 3000.0, 3000.0, 3400.0, 3200.0, 2980.0, 3000.0, 1800.0, 2200.0, 4600.0, 2980.0, 4600.0, 1800.0, 06-08-2018.xls, 2020-01-09 13:10:48
28, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9.0, 1500.0, 4100.0, 1500.0, 1000.0, 1800.0, 1200.0, 2000.0, 5040.0, 2000.0, 1800.0, 2200.0, 2195.0, 5040.0, 1000.0, 06-08-2018.xls, 2020-01-09 13:10:48
29, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2.0, 550.0, 525.0, 300.0, 350.0, 1000.0, 1000.0, 608.0, 850.0, 300.0, 700.0, 500.0, 608.0, 850.0, 1000.0, 06-08-2018.xls, 2020-01-09 13:10:48
