RowNo, VARIETY, Commodity, Unit, Kg, code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Isiolo, Average, Max, Min, FileName, DateOfUpload
36, HORTICULTURE, Cucumber, Bag, 50.0, 14.0, 2500.0, 2500.0, 3000.0, 3500.0, 3500.0, 2000.0, 7500.0, 3500.0, 7500.0, 2000.0, 24-04-2018.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Capsicums, Bag, 50.0, 12.0, 2750.0, 2250.0, 2500.0, 2000.0, 2000.0, 3000.0, 4000.0, 2643.0, 4000.0, 2000.0, 24-04-2018.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Brinjals, Bag, 44.0, 8.0, 2420.0, 1000.0, 900.0, 2000.0, 1572.0, 1540.0, 1572.0, 1572.0, 900.0, 1000.0, 24-04-2018.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Cauliflower, crate, 39.0, 10.0, 2340.0, 2730.0, 3100.0, 2723.0, 2723.0, 2723.0, 2723.0, 2723.0, 3100.0, 2340.0, 24-04-2018.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Lettuce, Bag, 51.0, 17.0, 3060.0, 5500.0, 5000.0, 4595.0, 4595.0, 4820.0, 4595.0, 4595.0, 5500.0, 3060.0, 24-04-2018.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25.0, 5130.0, 5000.0, 5000.0, 5000.0, 4560.0, 3600.0, 4500.0, 4684.0, 5130.0, 3600.0, 24-04-2018.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Oranges, Bag, 93.0, 24.0, 4000.0, 3400.0, 3200.0, 5400.0, 3400.0, 2500.0, 5500.0, 3914.0, 5500.0, 2500.0, 24-04-2018.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Lemons, Bag, 95.0, 16.0, 2850.0, 2700.0, 3000.0, 2400.0, 2742.0, 2500.0, 3000.0, 2742.0, 3000.0, 2400.0, 24-04-2018.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21.0, 2600.0, 2800.0, 2100.0, 3000.0, 2400.0, 2520.0, 2570.0, 2570.0, 3000.0, 2100.0, 24-04-2018.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36.0, 1250.0, 900.0, 2000.0, 500.0, 600.0, 600.0, 975.0, 975.0, 900.0, 1250.0, 24-04-2018.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Limes, net, 13.0, 18.0, 1300.0, 500.0, 650.0, 713.0, 713.0, 400.0, 713.0, 713.0, 650.0, 1300.0, 24-04-2018.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Pineapples, Dozen, 12.8, 13.0, 1040.0, 960.0, 960.0, 480.0, 1105.0, 700.0, 1200.0, 921.0, 960.0, 1040.0, 24-04-2018.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26.0, 2700.0, 1000.0, 1000.0, 3000.0, 2430.0, 2000.0, 2022.0, 2022.0, 3000.0, 1000.0, 24-04-2018.xls, 2020-01-09 13:10:47
49, HORTICULTURE, Avocado, Bag, 90.0, 1.0, 2400.0, 3500.0, 1800.0, 2200.0, 1800.0, 3000.0, 2600.0, 2471.0, 3500.0, 1800.0, 24-04-2018.xls, 2020-01-09 13:10:47
50, HORTICULTURE, Kales, Bag, 50.0, 15.0, 1200.0, 1800.0, 1300.0, 700.0, 1200.0, 1150.0, 1250.0, 1229.0, 700.0, 1150.0, 24-04-2018.xls, 2020-01-09 13:10:47
51, OTHERS, Eggs, Tray, 5, 47.0, 330.0, 330.0, 330.0, 300.0, 330.0, 340.0, 340.0, 329.0, 340.0, 300.0, 24-04-2018.xls, 2020-01-09 13:10:47
