RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Isiolo, Meru, Kitale, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20.0, 2600.0, 2500.0, 2600.0, 2000.0, 2000.0, 2700.0, 2000.0, 1700.0, 2263.0, 2700.0, 1700.0, 01-08-2018.xls, 2020-01-09 13:10:48
11, CEREAL, Green Maize, Ext Bag, 115.0, 19.0, 2700.0, 5200.0, 2000.0, 1500.0, 1400.0, 3000.0, 2300.0, 1400.0, 2438.0, 5200.0, 1400.0, 01-08-2018.xls, 2020-01-09 13:10:48
12, CEREAL, Finger Millet, Bag, 90.0, 41.0, 7200.0, 6750.0, 7600.0, 6300.0, 8100.0, 9000.0, 6300.0, 6300.0, 7194.0, 9000.0, 6300.0, 01-08-2018.xls, 2020-01-09 13:10:48
13, CEREAL, Sorghum, Bag, 90.0, 42.0, 4000.0, 2700.0, 3200.0, 3600.0, 5400.0, 4500.0, 3600.0, 3857.0, 3857.0, 5400.0, 2700.0, 01-08-2018.xls, 2020-01-09 13:10:48
14, CEREAL, Wheat, Bag, 90.0, 48.0, 3633.0, 3633.0, 3633.0, 3633.0, 3300.0, 4500.0, 3100.0, 3633.0, 3633.0, 4500.0, 3100.0, 01-08-2018.xls, 2020-01-09 13:10:48
15, LEGUMES, Beans Canadian, Bag, 90.0, 4.0, 7200.0, 5950.0, 7200.0, 5400.0, 5950.0, 5950.0, 5950.0, 4000.0, 5950.0, 7200.0, 4000.0, 01-08-2018.xls, 2020-01-09 13:10:48
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5.0, 6300.0, 4500.0, 6200.0, 5400.0, 7650.0, 6300.0, 3600.0, 4000.0, 5494.0, 7650.0, 3600.0, 01-08-2018.xls, 2020-01-09 13:10:48
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7.0, 6300.0, 3700.0, 4893.0, 3600.0, 7650.0, 5400.0, 3600.0, 4000.0, 4893.0, 7650.0, 3600.0, 01-08-2018.xls, 2020-01-09 13:10:48
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6.0, 6300.0, 4633.0, 4633.0, 3600.0, 4633.0, 4633.0, 4000.0, 4633.0, 4633.0, 6300.0, 3600.0, 01-08-2018.xls, 2020-01-09 13:10:48
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35.0, 8400.0, 6750.0, 8464.0, 5400.0, 12600.0, 9000.0, 6300.0, 10800.0, 8464.0, 9000.0, 10800.0, 01-08-2018.xls, 2020-01-09 13:10:48
