RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Kitale, Kakamega, Isiolo, Average, Max, Min, FileName, DateOfUpload
32, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32.0, 5000.0, 3800.0, 4000.0, 2000.0, 3800.0, 3000.0, 4000.0, 4500.0, 3763.0, 5000.0, 2000.0, 04-04-2018.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Onions Dry, net, 13.0, 22.0, 1300.0, 1600.0, 1300.0, 1500.0, 1560.0, 1200.0, 1300.0, 1560.0, 1415.0, 1600.0, 1200.0, 04-04-2018.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Spring Onions, Bag, 142.0, 23.0, 2400.0, 3600.0, 2500.0, 1000.0, 1200.0, 3600.0, 2383.0, 2383.0, 2383.0, 3600.0, 1000.0, 04-04-2018.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Chillies, Bag, 38.0, 11.0, 2280.0, 3800.0, 1500.0, 2500.0, 3613.0, 4000.0, 3613.0, 7600.0, 3613.0, 7600.0, 1500.0, 04-04-2018.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Cucumber, Bag, 50.0, 14.0, 2250.0, 2500.0, 2583.0, 2583.0, 2583.0, 3000.0, 2583.0, 2583.0, 2583.0, 3000.0, 2250.0, 04-04-2018.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Capsicums, Bag, 50.0, 12.0, 2750.0, 2500.0, 2700.0, 2000.0, 1500.0, 4000.0, 2779.0, 4000.0, 2779.0, 4000.0, 1500.0, 04-04-2018.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Brinjals, Bag, 44.0, 8.0, 2200.0, 700.0, 1500.0, 2000.0, 1957.0, 2700.0, 1957.0, 2640.0, 1957.0, 700.0, 1500.0, 04-04-2018.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Cauliflower, crate, 39.0, 10.0, 2340.0, 3100.0, 2720.0, 2720.0, 2720.0, 2720.0, 2720.0, 2720.0, 2720.0, 3100.0, 2340.0, 04-04-2018.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Lettuce, Bag, 51.0, 17.0, 2550.0, 4000.0, 3275.0, 3275.0, 3275.0, 3275.0, 3275.0, 3275.0, 3275.0, 4000.0, 2550.0, 04-04-2018.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25.0, 5000.0, 5500.0, 3100.0, 5000.0, 4560.0, 3300.0, 4423.0, 4500.0, 4423.0, 5500.0, 3100.0, 04-04-2018.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Oranges, Bag, 93.0, 24.0, 4200.0, 3400.0, 3000.0, 5400.0, 3000.0, 3000.0, 2800.0, 5500.0, 3788.0, 5500.0, 2800.0, 04-04-2018.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Lemons, Bag, 95.0, 16.0, 2850.0, 2700.0, 1500.0, 2400.0, 3204.0, 3325.0, 2000.0, 7650.0, 3204.0, 7650.0, 1500.0, 04-04-2018.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21.0, 2700.0, 3500.0, 2000.0, 3000.0, 2000.0, 2600.0, 3000.0, 2500.0, 2663.0, 3500.0, 2000.0, 04-04-2018.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36.0, 1200.0, 900.0, 2000.0, 1308.0, 500.0, 1308.0, 1250.0, 2000.0, 1308.0, 900.0, 1200.0, 04-04-2018.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Limes, net, 13.0, 18.0, 1170.0, 800.0, 985.0, 985.0, 985.0, 985.0, 985.0, 985.0, 985.0, 800.0, 1170.0, 04-04-2018.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Pineapples, Dozen, 12.8, 28.0, 1040.0, 960.0, 650.0, 480.0, 1105.0, 750.0, 1200.0, 1200.0, 923.0, 960.0, 1040.0, 04-04-2018.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26.0, 2750.0, 1300.0, 1000.0, 3000.0, 2430.0, 2750.0, 2205.0, 2205.0, 2205.0, 3000.0, 1000.0, 04-04-2018.xls, 2020-01-09 13:10:47
49, HORTICULTURE, Avocado, Bag, 90.0, 1.0, 2250.0, 3500.0, 1800.0, 2200.0, 3200.0, 1400.0, 2479.0, 3000.0, 2479.0, 3500.0, 1400.0, 04-04-2018.xls, 2020-01-09 13:10:47
50, HORTICULTURE, Kales, Bag, 50.0, 15.0, 1250.0, 1400.0, 800.0, 500.0, 1400.0, 600.0, 1500.0, 1000.0, 1056.0, 800.0, 1000.0, 04-04-2018.xls, 2020-01-09 13:10:47
51, OTHERS, Eggs, Tray, 5, 47.0, 320.0, 330.0, 330.0, 300.0, 330.0, 340.0, 300.0, 340.0, 324.0, 340.0, 300.0, 04-04-2018.xls, 2020-01-09 13:10:47
