RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Busia, Kisii, Loitktkktk, Isiolo, kitale, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20, 2800.0, 2600.0, 3600.0, 2500.0, 2400.0, 3150.0, 2600.0, 2000.0, 3600.0, 2300.0, 2755.0, 3600.0, 2000.0, 27-3-2018.xls, 2020-01-09 13:10:47
11, CEREAL, Green Maize, Ext Bag, 115.0, 19, 2400.0, 5600.0, 2400.0, 2500.0, 1800.0, 2838.0, 2838.0, 2000.0, 3000.0, 3000.0, 2838.0, 5600.0, 1800.0, 27-3-2018.xls, 2020-01-09 13:10:47
12, CEREAL, Finger Millet, Bag, 90.0, 41, 8100.0, 9000.0, 9600.0, 6300.0, 7200.0, 7200.0, 7600.0, 7711.0, 9000.0, 5400.0, 7711.0, 9600.0, 5400.0, 27-3-2018.xls, 2020-01-09 13:10:47
13, CEREAL, Sorghum, Bag, 90.0, 42, 4500.0, 2880.0, 4200.0, 3100.0, 6300.0, 3600.0, 4154.0, 4154.0, 4500.0, 4154.0, 4154.0, 6300.0, 2880.0, 27-3-2018.xls, 2020-01-09 13:10:47
14, CEREAL, Wheat, Bag, 90.0, 48, 3900.0, 3900.0, 3900.0, 3900.0, 3300.0, 3900.0, 3900.0, 3900.0, 4500.0, 3900.0, 3900.0, 4500.0, 3300.0, 27-3-2018.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Canadian, Bag, 90.0, 4, 7200.0, 6800.0, 8000.0, 7200.0, 6800.0, 6800.0, 6800.0, 6800.0, 6800.0, 4800.0, 6800.0, 8000.0, 4800.0, 27-3-2018.xls, 2020-01-09 13:10:47
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 7200.0, 5600.0, 8800.0, 7200.0, 8100.0, 9900.0, 6000.0, 7200.0, 7200.0, 4800.0, 7200.0, 9900.0, 4800.0, 27-3-2018.xls, 2020-01-09 13:10:47
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 6750.0, 5500.0, 6121.0, 5500.0, 8100.0, 6121.0, 6121.0, 5000.0, 7200.0, 4800.0, 6121.0, 8100.0, 4800.0, 27-3-2018.xls, 2020-01-09 13:10:47
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 6500.0, 6000.0, 6000.0, 5500.0, 6000.0, 6000.0, 6000.0, 6000.0, 6000.0, 6000.0, 6000.0, 6500.0, 5500.0, 27-3-2018.xls, 2020-01-09 13:10:47
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35, 9500.0, 6300.0, 8179.0, 5400.0, 11250.0, 8179.0, 8179.0, 5000.0, 9000.0, 10800.0, 8179.0, 9500.0, 10800.0, 27-3-2018.xls, 2020-01-09 13:10:47
