RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoret, Malindi, Garissa, Karatina, Kakamega, Average, Max, Min, FileName, DateOfUpload
40, HORTICULTURE, Oranges, Bag, 93.0, 24, 2200.0, 2200.0, 2500.0, 2400.0, 2600.0, 2800.0, 2500.0, 2500.0, 2800.0, 2500.0, 2800.0, 2200.0, 267012.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Lemons, Bag, 95.0, 16, 1400.0, 1600.0, 1000.0, 1600.0, 1520.0, 2000.0, 1520.0, 1520.0, 1520.0, 1520.0, 2000.0, 1000.0, 267012.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 700.0, 1000.0, 1500.0, 2400.0, 3000.0, 2000.0, 1400.0, 1825.0, 2600.0, 1825.0, 700.0, 1000.0, 267012.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 700.0, 600.0, 1800.0, 500.0, 750.0, 1290.0, 2500.0, 1143.0, 1000.0, 1143.0, 750.0, 1000.0, 267012.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Limes, net, 13.0, 18, 600.0, 1000.0, 640.0, 640.0, 640.0, 700.0, 260.0, 640.0, 640.0, 640.0, 700.0, 1000.0, 267012.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 600.0, 1080.0, 500.0, 480.0, 520.0, 1200.0, 797.0, 797.0, 1200.0, 797.0, 600.0, 1080.0, 267012.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2400.0, 1000.0, 1000.0, 1444.0, 1620.0, 1444.0, 1444.0, 1200.0, 1444.0, 1444.0, 2400.0, 1000.0, 267012.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Avocado, Bag, 90.0, 1, 2800.0, 2500.0, 850.0, 2000.0, 2250.0, 4500.0, 1500.0, 1300.0, 2213.0, 2213.0, 850.0, 1300.0, 267012.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Kales, Bag, 50.0, 15, 1000.0, 1000.0, 1200.0, 300.0, 500.0, 1500.0, 600.0, 600.0, 1200.0, 878.0, 600.0, 1000.0, 267012.xls, 2020-01-09 13:10:47
49, OTHERS, Eggs, Tray, 5, 47, 300.0, 330.0, 290.0, 280.0, 300.0, 330.0, 300.0, 300.0, 270.0, 300.0, 330.0, 270.0, 267012.xls, 2020-01-09 13:10:47
