RowNo, VARIETY, Commodity, Unit, Kg, code, Nairobi, Mombasa, Kisumu, Nakuru, kisii, Eldoretoret, Busia, Kitale, Wajir, Average, Max, Min, FileName, DateOfUpload
33, HORTICULTURE, Onions Dry, net, 13.0, 22.0, 1040.0, 600.0, 1050.0, 650.0, 700.0, 1040.0, 910.0, 750.0, 2200.0, 993.0, 910.0, 1040.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
34, HORTICULTURE, Spring Onions, Bag, 142.0, 23.0, 2600.0, 3800.0, 2400.0, 3000.0, 5000.0, 1200.0, 3000.0, 3000.0, 3000.0, 3000.0, 5000.0, 1200.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
35, HORTICULTURE, Chillies, Bag, 38.0, 11.0, 2090.0, 1900.0, 1500.0, 3000.0, 2258.0, 2258.0, 2258.0, 2800.0, 2258.0, 2258.0, 3000.0, 1500.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
36, HORTICULTURE, Cucumber, Bag, 50.0, 14.0, 2250.0, 2000.0, 2417.0, 2417.0, 2417.0, 2417.0, 2417.0, 3000.0, 2417.0, 2417.0, 3000.0, 2000.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
37, HORTICULTURE, Capsicums, Bag, 50.0, 12.0, 2750.0, 2000.0, 2400.0, 3000.0, 2736.0, 2000.0, 4000.0, 3000.0, 2736.0, 2736.0, 4000.0, 2000.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
38, HORTICULTURE, Brinjals, Bag, 44.0, 8.0, 2420.0, 900.0, 1500.0, 2000.0, 1731.0, 2000.0, 1500.0, 1800.0, 1731.0, 1731.0, 900.0, 1500.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
39, HORTICULTURE, Cauliflower, crate, 39.0, 10.0, 2340.0, 1080.0, 1710.0, 1710.0, 1710.0, 1710.0, 1710.0, 1710.0, 1710.0, 1710.0, 2340.0, 1080.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
40, HORTICULTURE, Lettuce, Bag, 51.0, 17.0, 2550.0, 1850.0, 2200.0, 2200.0, 2200.0, 2200.0, 2200.0, 2200.0, 2200.0, 2200.0, 2550.0, 1850.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25.0, 5130.0, 6000.0, 3000.0, 5000.0, 5388.0, 5700.0, 5388.0, 7500.0, 5388.0, 5388.0, 7500.0, 3000.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
42, HORTICULTURE, Oranges, Bag, 93.0, 24.0, 3750.0, 3200.0, 3000.0, 3500.0, 4000.0, 3400.0, 2500.0, 4000.0, 3419.0, 3419.0, 4000.0, 2500.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
43, HORTICULTURE, Lemons, Bag, 95.0, 16.0, 2850.0, 3300.0, 1500.0, 2400.0, 3800.0, 2807.0, 2000.0, 3800.0, 2807.0, 2807.0, 3800.0, 1500.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21.0, 2800.0, 2000.0, 2400.0, 3000.0, 2533.0, 2400.0, 2533.0, 2600.0, 2533.0, 2533.0, 3000.0, 2000.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36.0, 1200.0, 1000.0, 2000.0, 1200.0, 1200.0, 600.0, 1200.0, 1200.0, 1200.0, 1200.0, 600.0, 1000.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
46, HORTICULTURE, Limes, net, 13.0, 18.0, 1300.0, 2250.0, 1775.0, 1775.0, 1775.0, 1775.0, 1775.0, 1775.0, 1775.0, 1775.0, 2250.0, 1300.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
47, HORTICULTURE, Pineapples, Dozen, 12.8, 28.0, 1040.0, 900.0, 640.0, 600.0, 900.0, 650.0, 840.0, 600.0, 771.0, 771.0, 900.0, 1040.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26.0, 2600.0, 1200.0, 1000.0, 3000.0, 2700.0, 3150.0, 2421.0, 3300.0, 2421.0, 2421.0, 3300.0, 1000.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
49, HORTICULTURE, Avocado, Bag, 90.0, 1.0, 2200.0, 4000.0, 1800.0, 2000.0, 800.0, 2300.0, 2000.0, 900.0, 2000.0, 2000.0, 900.0, 1800.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
50, HORTICULTURE, Kales, Bag, 50.0, 15.0, 1500.0, 1650.0, 1200.0, 600.0, 500.0, 18001.0, 3190.0, 70.0, 2000.0, 3190.0, 70.0, 1200.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
51, OTHERS, Eggs, Tray, 5, 47.0, 300.0, 300.0, 300.0, 300.0, 300.0, 320.0, 310.0, 310.0, 350.0, 310.0, 350.0, 300.0, Copy-of-22-10-2018.xls, 2020-01-09 13:10:48
