RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Kitale, Isiolo, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20, 2600.0, 2700.0, 3200.0, 2200.0, 2000.0, 2000.0, 2700.0, 2486.0, 3200.0, 2000.0, 13-06-2018.xls, 2020-01-09 13:10:47
11, CEREAL, Green Maize, Ext Bag, 115.0, 19, 2500.0, 5200.0, 2400.0, 2300.0, 1800.0, 3000.0, 3000.0, 2886.0, 5200.0, 1800.0, 13-06-2018.xls, 2020-01-09 13:10:47
12, CEREAL, Finger Millet, Bag, 90.0, 41, 7200.0, 8100.0, 9200.0, 6300.0, 7200.0, 6300.0, 9000.0, 7614.0, 9200.0, 6300.0, 13-06-2018.xls, 2020-01-09 13:10:47
13, CEREAL, Sorghum, Bag, 90.0, 42, 3800.0, 2700.0, 4200.0, 3600.0, 5400.0, 4033.0, 4500.0, 4033.0, 5400.0, 2700.0, 13-06-2018.xls, 2020-01-09 13:10:47
14, CEREAL, Wheat, Bag, 90.0, 48, 3900.0, 3900.0, 3900.0, 3900.0, 3300.0, 3900.0, 4500.0, 3900.0, 4500.0, 3300.0, 13-06-2018.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Canadian, Bag, 90.0, 4, 7200.0, 6850.0, 7600.0, 7000.0, 6850.0, 5600.0, 6850.0, 6850.0, 7600.0, 5600.0, 13-06-2018.xls, 2020-01-09 13:10:47
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 6750.0, 4500.0, 6800.0, 6000.0, 7200.0, 5600.0, 6300.0, 6164.0, 7200.0, 4500.0, 13-06-2018.xls, 2020-01-09 13:10:47
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 6300.0, 5000.0, 5383.0, 4500.0, 7200.0, 4800.0, 4500.0, 5383.0, 7200.0, 4500.0, 13-06-2018.xls, 2020-01-09 13:10:47
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 6000.0, 6150.0, 6150.0, 6300.0, 6150.0, 6150.0, 6150.0, 6150.0, 6300.0, 6000.0, 13-06-2018.xls, 2020-01-09 13:10:47
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35, 9000.0, 5400.0, 8325.0, 5400.0, 10350.0, 10800.0, 9000.0, 8325.0, 9000.0, 10350.0, 13-06-2018.xls, 2020-01-09 13:10:47
20, LEGUMES, Green Gram, Bag, 90.0, 46, 9500.0, 5220.0, 8000.0, 6300.0, 11700.0, 11700.0, 7200.0, 8517.0, 9500.0, 11700.0, 13-06-2018.xls, 2020-01-09 13:10:47
21, LEGUMES, Cowpeas, Bag, 90.0, 45, 7650.0, 4500.0, 9200.0, 8100.0, 6750.0, 7000.0, 5400.0, 6943.0, 9200.0, 4500.0, 13-06-2018.xls, 2020-01-09 13:10:47
22, LEGUMES, Fresh Peas, Bag, 51.0, 27, 4500.0, 3750.0, 2500.0, 6000.0, 3060.0, 2400.0, 3570.0, 3683.0, 6000.0, 2400.0, 13-06-2018.xls, 2020-01-09 13:10:47
23, LEGUMES, Groundnuts, Bag, 110.0, 44, 11000.0, 12100.0, 10000.0, 9000.0, 12250.0, 14300.0, 16200.0, 12121.0, 9000.0, 10000.0, 13-06-2018.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29, 2000.0, 2500.0, 1200.0, 2117.0, 2000.0, 1500.0, 3500.0, 2117.0, 3500.0, 1200.0, 13-06-2018.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30, 2200.0, 2500.0, 1200.0, 2500.0, 1800.0, 2800.0, 3800.0, 2400.0, 3800.0, 1200.0, 13-06-2018.xls, 2020-01-09 13:10:47
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2500.0, 3000.0, 3000.0, 2720.0, 2720.0, 2700.0, 2400.0, 2720.0, 3000.0, 2400.0, 13-06-2018.xls, 2020-01-09 13:10:47
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3300.0, 2600.0, 3000.0, 2500.0, 3400.0, 2000.0, 3600.0, 2914.0, 3600.0, 2000.0, 13-06-2018.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 1650.0, 4700.0, 1800.0, 1000.0, 1600.0, 2000.0, 1600.0, 2050.0, 4700.0, 1000.0, 13-06-2018.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 500.0, 550.0, 350.0, 500.0, 1350.0, 900.0, 700.0, 693.0, 900.0, 1350.0, 13-06-2018.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 600.0, 500.0, 350.0, 750.0, 700.0, 900.0, 600.0, 629.0, 900.0, 350.0, 13-06-2018.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 3840.0, 7800.0, 3500.0, 3000.0, 3400.0, 7000.0, 3000.0, 4506.0, 7800.0, 3000.0, 13-06-2018.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 7000.0, 8400.0, 8000.0, 7000.0, 12500.0, 9500.0, 8000.0, 8629.0, 9500.0, 12500.0, 13-06-2018.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Onions Dry, net, 13.0, 22, 1235.0, 800.0, 1040.0, 1200.0, 1120.0, 1050.0, 910.0, 1051.0, 910.0, 1040.0, 13-06-2018.xls, 2020-01-09 13:10:47
34, HORTICULTURE, Spring Onions, Bag, 142.0, 23, 2600.0, 3500.0, 2400.0, 1000.0, 1200.0, 2000.0, 2117.0, 2117.0, 3500.0, 1000.0, 13-06-2018.xls, 2020-01-09 13:10:47
35, HORTICULTURE, Chillies, Bag, 38.0, 11, 2280.0, 4700.0, 1500.0, 2300.0, 3480.0, 4400.0, 5700.0, 3480.0, 5700.0, 1500.0, 13-06-2018.xls, 2020-01-09 13:10:47
36, HORTICULTURE, Cucumber, Bag, 50.0, 14, 2250.0, 2500.0, 3813.0, 3813.0, 3813.0, 3000.0, 7500.0, 3813.0, 7500.0, 2250.0, 13-06-2018.xls, 2020-01-09 13:10:47
37, HORTICULTURE, Capsicums, Bag, 50.0, 12, 3000.0, 6500.0, 2400.0, 3000.0, 1500.0, 3500.0, 7500.0, 3914.0, 7500.0, 1500.0, 13-06-2018.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Brinjals, Bag, 44.0, 8, 2420.0, 2860.0, 1500.0, 2000.0, 2427.0, 2700.0, 3080.0, 2427.0, 3080.0, 1500.0, 13-06-2018.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2340.0, 3100.0, 2720.0, 2720.0, 2720.0, 2720.0, 2720.0, 2720.0, 3100.0, 2340.0, 13-06-2018.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Lettuce, Bag, 51.0, 17, 3060.0, 3000.0, 3030.0, 3030.0, 3030.0, 3030.0, 3030.0, 3030.0, 3060.0, 3000.0, 13-06-2018.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 5500.0, 7000.0, 3000.0, 5000.0, 4560.0, 7500.0, 4500.0, 5294.0, 7500.0, 3000.0, 13-06-2018.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Oranges, Bag, 93.0, 24, 3800.0, 3000.0, 2500.0, 3500.0, 3200.0, 4000.0, 5000.0, 3571.0, 5000.0, 2500.0, 13-06-2018.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Lemons, Bag, 95.0, 16, 2850.0, 2700.0, 1500.0, 2500.0, 2783.0, 4750.0, 2400.0, 2783.0, 4750.0, 1500.0, 13-06-2018.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 2700.0, 1500.0, 2000.0, 3000.0, 2000.0, 2600.0, 2300.0, 2300.0, 3000.0, 1500.0, 13-06-2018.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 1200.0, 1200.0, 1600.0, 500.0, 500.0, 1167.0, 2000.0, 1167.0, 500.0, 1200.0, 13-06-2018.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Limes, net, 13.0, 18, 1040.0, 1000.0, 1020.0, 1020.0, 1020.0, 1020.0, 1020.0, 1020.0, 1040.0, 1000.0, 13-06-2018.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 1080.0, 780.0, 620.0, 500.0, 1105.0, 600.0, 1200.0, 841.0, 780.0, 1080.0, 13-06-2018.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 2700.0, 1300.0, 1000.0, 2500.0, 2430.0, 3300.0, 2700.0, 2276.0, 3300.0, 1000.0, 13-06-2018.xls, 2020-01-09 13:10:47
49, HORTICULTURE, Avocado, Bag, 90.0, 1, 2200.0, 3500.0, 1500.0, 2000.0, 2300.0, 900.0, 2800.0, 2171.0, 900.0, 1500.0, 13-06-2018.xls, 2020-01-09 13:10:47
50, HORTICULTURE, Kales, Bag, 50.0, 15, 1250.0, 2750.0, 2500.0, 1000.0, 1200.0, 1500.0, 1250.0, 1636.0, 2750.0, 1000.0, 13-06-2018.xls, 2020-01-09 13:10:47
51, OTHERS, Eggs, Tray, 5, 47, 320.0, 340.0, 300.0, 320.0, 330.0, 330.0, 340.0, 326.0, 340.0, 300.0, 13-06-2018.xls, 2020-01-09 13:10:47
