RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Kitale, Chwele, Busia, Kakamega, Imenti, Machakos, Kitui, Average, Max, Min, FileName, DateOfUpload
37, HORTICULTURE, Cauliflower, crate, 39.0, 10, 2640.0, 1412.0, 2026.0, 2026.0, 2026.0, 2026.0, 2026.0, 2026.0, 2026.0, 2026.0, 2026.0, 2026.0, 2026.0, 2026.0, 2640.0, 1412.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
38, HORTICULTURE, Lettuce, Bag, 51.0, 17, 2540.0, 1680.0, 3407.0, 3407.0, 3407.0, 6000.0, 3407.0, 3407.0, 3407.0, 3407.0, 3407.0, 3407.0, 3407.0, 3407.0, 6000.0, 1680.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
39, HORTICULTURE, Passion Fruits, Bag, 57.0, 25, 3720.0, 5000.0, 3000.0, 3500.0, 2850.0, 5200.0, 2850.0, 3613.0, 4700.0, 3613.0, 1700.0, 3613.0, 3613.0, 3613.0, 5200.0, 1700.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
40, HORTICULTURE, Oranges, Bag, 93.0, 24, 2980.0, 3200.0, 2500.0, 2800.0, 3080.0, 3296.0, 2400.0, 3000.0, 2200.0, 2830.0, 3400.0, 2700.0, 2400.0, 2830.0, 3400.0, 2200.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
41, HORTICULTURE, Lemons, Bag, 95.0, 16, 1600.0, 1340.0, 750.0, 1600.0, 1377.0, 2000.0, 2375.0, 1377.0, 1200.0, 1377.0, 700.0, 1800.0, 400.0, 1377.0, 750.0, 1200.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
42, HORTICULTURE, Mangoes Local, Bag, 126.0, 21, 2980.0, 1984.0, 2208.0, 2500.0, 3000.0, 1984.0, 2000.0, 1984.0, 1984.0, 1984.0, 500.0, 1984.0, 700.0, 1984.0, 700.0, 2000.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
43, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36, 766.0, 884.0, 992.0, 992.0, 700.0, 2300.0, 992.0, 992.0, 992.0, 992.0, 800.0, 992.0, 500.0, 992.0, 884.0, 2300.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
44, HORTICULTURE, Limes, net, 13.0, 18, 630.0, 630.0, 590.0, 500.0, 590.0, 600.0, 590.0, 590.0, 590.0, 590.0, 590.0, , 590.0, 590.0, 630.0, 500.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
45, HORTICULTURE, Pineapples, Dozen, 12.8, 28, 600.0, 975.0, 600.0, 480.0, 780.0, 680.0, 520.0, 694.0, 694.0, 694.0, 600.0, 800.0, 900.0, 694.0, 975.0, 480.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
46, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26, 1960.0, 880.0, 1000.0, 2000.0, 2660.0, 2160.0, 1620.0, 1566.0, 2000.0, 1566.0, 800.0, 1550.0, 600.0, 1566.0, 880.0, 1000.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
47, HORTICULTURE, Avocado, Bag, 90.0, 1, 2980.0, 2700.0, 1200.0, 2200.0, 2700.0, 6400.0, 1000.0, 2335.0, 1000.0, 2335.0, 800.0, 2700.0, 2000.0, 2335.0, 800.0, 1000.0, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
48, HORTICULTURE, Kales, Bag, 50.0, 15, 2660.0, 3010.0, 3000.0, 2660.0, 1720.0, 2700.0, 1500.0, 2500.0, 1333.3333333333333, 2074.0, 300.0, 1500.0, 2000.0, 2074.0, 3010.0, 1333.3333333333333, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
49, OTHERS, Eggs, Tray, 5, 47, 300.0, 300.0, 290.0, 280.0, 350.0, 330.0, 270.0, 340.0, 266.6666666666667, 302.0, 300.0, 290.0, 302.0, 302.0, 350.0, 266.6666666666667, copy-of-wk-ending-3032012.xls, 2020-01-09 13:10:47
