RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Kitale, Imenti, Average, Max, Min, FileName, DateOfUpload
10, CEREAL, Dry Maize, Bag, 90.0, 20, 3000.0, 2650.0, 3600.0, 2500.0, 2200.0, 2400.0, 2300.0, 2664.0, 3600.0, 2200.0, 9-3-2018.xls, 2020-01-09 13:10:47
11, CEREAL, Green Maize, Ext Bag, 115.0, 19, 2250.0, 5800.0, 2200.0, 2500.0, 1800.0, 3000.0, 1800.0, 2764.0, 5800.0, 1800.0, 9-3-2018.xls, 2020-01-09 13:10:47
12, CEREAL, Finger Millet, Bag, 90.0, 41, 8100.0, 9000.0, 9600.0, 6300.0, 7200.0, 5400.0, 7200.0, 7543.0, 9600.0, 5400.0, 9-3-2018.xls, 2020-01-09 13:10:47
13, CEREAL, Sorghum, Bag, 90.0, 42, 4200.0, 3300.0, 4200.0, 3100.0, 6300.0, 4100.0, 3500.0, 4100.0, 6300.0, 3100.0, 9-3-2018.xls, 2020-01-09 13:10:47
14, CEREAL, Wheat, Bag, 90.0, 48, 2950.0, 2950.0, 2950.0, 2950.0, 3300.0, 2950.0, 2600.0, 2950.0, 3300.0, 2600.0, 9-3-2018.xls, 2020-01-09 13:10:47
15, LEGUMES, Beans Canadian, Bag, 90.0, 4, 7500.0, 6400.0, 6400.0, 6700.0, 6400.0, 5000.0, 6400.0, 6400.0, 7500.0, 5000.0, 9-3-2018.xls, 2020-01-09 13:10:47
16, LEGUMES, Beans Rosecoco, Bag, 90.0, 5, 7200.0, 5600.0, 6183.0, 6700.0, 8100.0, 5000.0, 4500.0, 6183.0, 8100.0, 4500.0, 9-3-2018.xls, 2020-01-09 13:10:47
17, LEGUMES, Beans Mwitemania, Bag, 90.0, 7, 7000.0, 5300.0, 5900.0, 5500.0, 8100.0, 5000.0, 4500.0, 5900.0, 8100.0, 4500.0, 9-3-2018.xls, 2020-01-09 13:10:47
18, LEGUMES, Mwezi Moja, Bag, 90.0, 6, 6800.0, 6150.0, 6150.0, 5500.0, 6150.0, 6150.0, 6150.0, 6150.0, 6800.0, 5500.0, 9-3-2018.xls, 2020-01-09 13:10:47
19, LEGUMES, Dolichos (Njahi), Bag, 90.0, 35, 10000.0, 5400.0, 8492.0, 5400.0, 11250.0, 10800.0, 8100.0, 8492.0, 8100.0, 10000.0, 9-3-2018.xls, 2020-01-09 13:10:47
20, LEGUMES, Green Gram, Bag, 90.0, 46, 8100.0, 6300.0, 8000.0, 6700.0, 12600.0, 12600.0, 8500.0, 8971.0, 8500.0, 12600.0, 9-3-2018.xls, 2020-01-09 13:10:47
21, LEGUMES, Cowpeas, Bag, 90.0, 45, 8550.0, 5850.0, 9600.0, 8100.0, 7200.0, 8000.0, 4000.0, 7329.0, 9600.0, 4000.0, 9-3-2018.xls, 2020-01-09 13:10:47
22, LEGUMES, Fresh Peas, Bag, 51.0, 27, 2800.0, 3000.0, 2500.0, 4000.0, 3060.0, 4000.0, 3060.0, 3203.0, 4000.0, 2500.0, 9-3-2018.xls, 2020-01-09 13:10:47
23, LEGUMES, Groundnuts, Bag, 110.0, 44, 12000.0, 11700.0, 10000.0, 11000.0, 12150.0, 14300.0, 2000.0, 10450.0, 2000.0, 10000.0, 9-3-2018.xls, 2020-01-09 13:10:47
24, ROOTS & TUBERS, Red Irish Potatoes, Bag, 50.0, 29, 2400.0, 2000.0, 1500.0, 2075.0, 2400.0, 2075.0, 2075.0, 2075.0, 2400.0, 1500.0, 9-3-2018.xls, 2020-01-09 13:10:47
25, ROOTS & TUBERS, White Irish Potatoes, Bag, 50.0, 30, 2200.0, 2000.0, 1500.0, 2700.0, 2200.0, 3200.0, 2900.0, 2386.0, 3200.0, 1500.0, 9-3-2018.xls, 2020-01-09 13:10:47
26, ROOTS & TUBERS, Cassava Fresh, Bag, 98.8, 43, 2500.0, 2700.0, 3000.0, 2680.0, 2680.0, 2500.0, 2700.0, 2680.0, 3000.0, 2500.0, 9-3-2018.xls, 2020-01-09 13:10:47
27, ROOTS & TUBERS, Sweet Potatoes, Bag, 98.0, 31, 3400.0, 3300.0, 3000.0, 3500.0, 2600.0, 2000.0, 2000.0, 2829.0, 3500.0, 2000.0, 9-3-2018.xls, 2020-01-09 13:10:47
28, HORTICULTURE, Cabbages, Ext Bag, 126.0, 9, 1800.0, 3700.0, 2400.0, 1500.0, 1800.0, 2500.0, 1800.0, 2214.0, 3700.0, 1500.0, 9-3-2018.xls, 2020-01-09 13:10:47
29, HORTICULTURE, Cooking Bananas, Med Bunch, 22.0, 2, 550.0, 600.0, 350.0, 350.0, 1300.0, 400.0, 350.0, 557.0, 600.0, 1300.0, 9-3-2018.xls, 2020-01-09 13:10:47
30, HORTICULTURE, Ripe Bananas, Med Bunch, 14.0, 3, 650.0, 650.0, 350.0, 750.0, 700.0, 750.0, 600.0, 636.0, 750.0, 350.0, 9-3-2018.xls, 2020-01-09 13:10:47
31, HORTICULTURE, Carrots, Ext Bag, 138.0, 13, 3200.0, 5200.0, 3500.0, 3000.0, 1600.0, 5600.0, 1500.0, 3371.0, 5600.0, 1500.0, 9-3-2018.xls, 2020-01-09 13:10:47
32, HORTICULTURE, Tomatoes, Lg Box, 64.0, 32, 4800.0, 3500.0, 4000.0, 2500.0, 6400.0, 5000.0, 1930.0, 4019.0, 6400.0, 1930.0, 9-3-2018.xls, 2020-01-09 13:10:47
33, HORTICULTURE, Onions Dry, net, 13.0, 22, 1300.0, 1500.0, 1300.0, 1300.0, 1560.0, 1500.0, 1080.0, 1363.0, 1560.0, 1080.0, 9-3-2018.xls, 2020-01-09 13:10:47
