RowNo, VARIETY, Commodity, Unit, Kg, Code, Nairobi, Mombasa, Kisumu, Nakuru, Eldoretoret, Malindi, Busia, Kitale, Loitktkktok, Average, Max, Min, FileName, DateOfUpload
34, HORTICULTURE, Spring Onions, Bag, 142.0, 23.0, 2500.0, 5100.0, 2400.0, 2000.0, 1400.0, 2733.0, 2733.0, 3000.0, 2733.0, 2733.0, 5100.0, 1400.0, 07-08-2018.xls, 2020-01-09 13:10:48
35, HORTICULTURE, Chillies, Bag, 38.0, 11.0, 2660.0, 1900.0, 1500.0, 4000.0, 3177.0, 3000.0, 3177.0, 6000.0, 3177.0, 3177.0, 6000.0, 1500.0, 07-08-2018.xls, 2020-01-09 13:10:48
36, HORTICULTURE, Cucumber, Bag, 50.0, 14.0, 2750.0, 1500.0, 2088.0, 2088.0, 2088.0, 1600.0, 2088.0, 2500.0, 2088.0, 2088.0, 2750.0, 1500.0, 07-08-2018.xls, 2020-01-09 13:10:48
37, HORTICULTURE, Capsicums, Bag, 50.0, 12.0, 3000.0, 3000.0, 2500.0, 2800.0, 1500.0, 3000.0, 3500.0, 6000.0, 2500.0, 3089.0, 6000.0, 1500.0, 07-08-2018.xls, 2020-01-09 13:10:48
38, HORTICULTURE, Brinjals, Bag, 44.0, 8.0, 2200.0, 1100.0, 1500.0, 2000.0, 1727.0, 1760.0, 1727.0, 1800.0, 1727.0, 1727.0, 2200.0, 1100.0, 07-08-2018.xls, 2020-01-09 13:10:48
39, HORTICULTURE, Cauliflower, crate, 39.0, 10.0, 2730.0, 1170.0, 1950.0, 1950.0, 1950.0, 1950.0, 1950.0, 1950.0, 1950.0, 1950.0, 2730.0, 1170.0, 07-08-2018.xls, 2020-01-09 13:10:48
40, HORTICULTURE, Lettuce, Bag, 51.0, 17.0, 2550.0, 2000.0, 3217.0, 3217.0, 3217.0, 5100.0, 3217.0, 3217.0, 3217.0, 3217.0, 5100.0, 2000.0, 07-08-2018.xls, 2020-01-09 13:10:48
41, HORTICULTURE, Passion Fruits, Bag, 57.0, 25.0, 5130.0, 6500.0, 3000.0, 5000.0, 5400.0, 4275.0, 4815.0, 4400.0, 4815.0, 4815.0, 6500.0, 3000.0, 07-08-2018.xls, 2020-01-09 13:10:48
42, HORTICULTURE, Oranges, Bag, 93.0, 24.0, 3600.0, 4000.0, 3000.0, 3500.0, 3000.0, 1200.0, 4500.0, 4000.0, 2800.0, 3289.0, 4500.0, 1200.0, 07-08-2018.xls, 2020-01-09 13:10:48
43, HORTICULTURE, Lemons, Bag, 95.0, 16.0, 2850.0, 4300.0, 1800.0, 2400.0, 3014.0, 2500.0, 2500.0, 4750.0, 3014.0, 3014.0, 4750.0, 1800.0, 07-08-2018.xls, 2020-01-09 13:10:48
44, HORTICULTURE, Mangoes Local, Bag, 126.0, 21.0, 2700.0, 3000.0, 2400.0, 3000.0, 2300.0, 2520.0, 2646.0, 2600.0, 2646.0, 2646.0, 3000.0, 2300.0, 07-08-2018.xls, 2020-01-09 13:10:48
45, HORTICULTURE, Mangoes Ngowe, Sm Basket, 25.0, 36.0, 1500.0, 940.0, 1700.0, 500.0, 500.0, 500.0, 940.0, 940.0, 940.0, 940.0, 500.0, 1500.0, 07-08-2018.xls, 2020-01-09 13:10:48
46, HORTICULTURE, Limes, net, 13.0, 18.0, 1000.0, 600.0, 683.0, 683.0, 683.0, 450.0, 683.0, 683.0, 683.0, 683.0, 600.0, 1000.0, 07-08-2018.xls, 2020-01-09 13:10:48
47, HORTICULTURE, Pineapples, Dozen, 12.8, 28.0, 1040.0, 900.0, 640.0, 600.0, 650.0, 700.0, 960.0, 600.0, 761.0, 761.0, 960.0, 1040.0, 07-08-2018.xls, 2020-01-09 13:10:48
48, HORTICULTURE, Pawpaw, Lg Box, 54.0, 26.0, 2600.0, 1800.0, 1100.0, 3000.0, 3150.0, 2400.0, 2400.0, 2750.0, 2400.0, 2400.0, 3150.0, 1100.0, 07-08-2018.xls, 2020-01-09 13:10:48
49, HORTICULTURE, Avocado, Bag, 90.0, 1.0, 2200.0, 3000.0, 1600.0, 1500.0, 2300.0, 3000.0, 2163.0, 900.0, 2800.0, 2163.0, 900.0, 1500.0, 07-08-2018.xls, 2020-01-09 13:10:48
50, HORTICULTURE, Kales, Bag, 50.0, 15.0, 1250.0, 1800.0, 2500.0, 1000.0, 1800.0, 1400.0, 1544.0, 1800.0, 800.0, 1544.0, 800.0, 1000.0, 07-08-2018.xls, 2020-01-09 13:10:48
51, OTHERS, Eggs, Tray, 5, 47.0, 290.0, 340.0, 270.0, 300.0, 300.0, 330.0, 311.0, 310.0, 350.0, 311.0, 350.0, 270.0, 07-08-2018.xls, 2020-01-09 13:10:48
